"Zone","Year","draw_id","delta"
"Buffer",2004,9,0.0104267838376272
"Buffer",2005,9,0.0146536560947767
"Buffer",2006,9,0.0145149049165174
"Buffer",2007,9,0.0154157600282359
"Buffer",2008,9,0.0177785354666823
"Buffer",2009,9,0.0162916712616097
"Buffer",2010,9,0.0144715897396811
"Buffer",2011,9,0.0076816997008322
"Buffer",2012,9,0.025902922968629
"Buffer",2013,9,0.0081558842850629
"Buffer",2014,9,0.00752684273217376
"Buffer",2015,9,0.0110316514742054
"Buffer",2016,9,0.0128839433766489
"Buffer",2017,9,0.00304479364896219
"Buffer",2018,9,0.0112435173700851
"Buffer",2019,9,0.01119627638468
"Buffer",2020,9,0.0273184859701102
"Buffer",2021,9,0.0214765136482777
"Buffer",2022,9,0.0686099065000347
"Buffer",2023,9,0.0172790797517846
"Outside",2001,9,0.0206445659534274
"Outside",2002,9,0.0115623033972194
"Outside",2003,9,0.0112171323069278
"Outside",2004,9,0.0257940528154569
"Outside",2005,9,0.0276006026273125
"Outside",2006,9,0.0126691695781418
"Outside",2007,9,0.00935967482851345
"Outside",2008,9,0.0159560263968675
"Outside",2009,9,0.0262795928709467
"Outside",2010,9,0.0250742697046372
"Outside",2011,9,0.0244840090481476
"Outside",2012,9,0.0127253375952494
"Outside",2013,9,0.0179013731175178
"Outside",2014,9,0.0167255392104215
"Outside",2015,9,0.0136010225914484
"Outside",2016,9,0.0158721816475976
"Outside",2017,9,0.0115402459845695
"Outside",2018,9,0.0143190534688571
"Outside",2019,9,0.00621314710163926
"Outside",2020,9,0.0141477850457723
"Outside",2021,9,0.0141630428303532
"Outside",2022,9,0.0331964347978003
"Outside",2023,9,0.0253004406024555
"Core",2001,10,0.00648240036173145
"Core",2002,10,0.0191087660249574
"Core",2003,10,0.0415502920707726
"Core",2004,10,0.00870213611209308
"Core",2005,10,0.0138972081947239
"Core",2006,10,0.0309667489338586
"Core",2007,10,0.00941146156674325
"Core",2008,10,0.020099478294802
"Core",2009,10,0.0253117836381297
"Core",2010,10,0.00361325525026861
"Core",2011,10,0.0255165214862322
"Core",2012,10,0.0175196195375426
"Core",2013,10,0.0155963797409115
"Core",2014,10,0.00782794767214436
"Core",2015,10,0.0115872842793207
"Core",2016,10,0.0244389857282393
"Core",2017,10,0.0189681739832894
"Core",2018,10,0.0368165216205108
"Core",2019,10,0.0140900645138314
"Core",2020,10,0.0133690277527299
"Core",2021,10,0.0372289220500445
"Core",2022,10,0.0509053461606528
"Core",2023,10,0.0137309864378385
"Buffer",2001,10,0.0279165347104003
"Buffer",2002,10,0.00862070744660729
"Buffer",2003,10,0.00414996955845194
"Buffer",2004,10,0.0105536106591764
"Buffer",2005,10,0.0144112993204334
"Buffer",2006,10,0.00825205330318529
