"draw_id","Zone","n_increase","n_decrease","mean_inc_mag","mean_dec_mag"
170,"Outside",222,387,0.179863982598549,0.28082237638938
171,"Core",211,388,0.144683919130793,0.305448152388213
171,"Buffer",203,406,0.149640647512028,0.315021106824129
171,"Outside",233,376,0.146494861463121,0.299166425783353
172,"Core",230,370,0.157435439347349,0.310611601836526
172,"Buffer",192,416,0.150905273809851,0.299328582140858
172,"Outside",226,384,0.139395450941473,0.325101541953596
173,"Core",214,387,0.142980544675553,0.325245955725673
173,"Buffer",222,387,0.158267708157895,0.31862971009956
173,"Outside",243,367,0.135752233875142,0.310506045092269
174,"Core",227,373,0.164509693203407,0.31478657150955
174,"Buffer",218,391,0.147987660124997,0.32398167066295
174,"Outside",215,395,0.15210235018812,0.316308735641015
175,"Core",214,384,0.163475571866596,0.323789731193036
175,"Buffer",199,411,0.154095357543586,0.316631725321173
175,"Outside",238,372,0.147794031838114,0.308393779480143
176,"Core",221,382,0.156272734316003,0.324351357650632
176,"Buffer",193,415,0.157373031266739,0.306398853669042
176,"Outside",219,390,0.15070448543277,0.304215332738927
177,"Core",243,359,0.147015344688505,0.334555652246668
177,"Buffer",195,412,0.169994616905057,0.290539011501232
177,"Outside",221,388,0.151260567739598,0.302045624800563
178,"Core",230,368,0.168428507196982,0.323282426518985
178,"Buffer",218,390,0.159794727504176,0.307550295229433
178,"Outside",217,392,0.134391922316463,0.284877793326672
179,"Core",234,368,0.15255545336419,0.300527092628253
179,"Buffer",206,403,0.163462806963313,0.300552633299963
179,"Outside",235,375,0.159809737840947,0.30320751467324
180,"Core",222,378,0.15726993203319,0.332817124196372
180,"Buffer",197,411,0.143040709588097,0.305859916576709
180,"Outside",227,382,0.144337592358624,0.303431954289522
181,"Core",216,384,0.137417618717528,0.308998909832592
181,"Buffer",210,399,0.135640683458218,0.320071059835159
181,"Outside",218,392,0.155958486533881,0.312334649509965
182,"Core",227,373,0.152252245046771,0.338511892878312
182,"Buffer",228,380,0.128349788439683,0.337365374022922
182,"Outside",228,381,0.136741840689872,0.302661686225069
183,"Core",217,384,0.160973453028667,0.310737633262451
183,"Buffer",185,424,0.143829174358182,0.29436514518161
183,"Outside",218,391,0.151614972829106,0.315440343798337
184,"Core",224,378,0.159528363390589,0.311593126131768
184,"Buffer",192,418,0.170256093440101,0.293354513985598
184,"Outside",229,380,0.13859331153898,0.314265713702677
185,"Core",252,348,0.143827947709916,0.335236863040195
185,"Buffer",214,394,0.123748753374812,0.329850422722004
185,"Outside",224,386,0.130837286638333,0.314620475506998
186,"Core",223,377,0.144626354205151,0.311046908296938
186,"Buffer",214,394,0.142112860536951,0.293730029961109
186,"Outside",228,382,0.152078070469569,0.314902112225594
187,"Core",221,377,0.149958682941959,0.309296072954789
187,"Buffer",210,399,0.16159502557802,0.296240871467496
187,"Outside",229,381,0.137511927952812,0.314882503250434
188,"Core",213,387,0.152993762501897,0.346102126506492
188,"Buffer",206,402,0.17140498424686,0.298727710646481
188,"Outside",219,390,0.13612051393244,0.31556902152239
189,"Core",225,379,0.164041932809155,0.312994860159855
189,"Buffer",200,409,0.15134496412534,0.309169301163439
189,"Outside",220,390,0.134453276078759,0.309543560513255
190,"Core",223,379,0.163271421449569,0.329375265770411
190,"Buffer",205,403,0.167576030650041,0.314803472956965
190,"Outside",221,389,0.137627155561698,0.317880786005926
191,"Core",214,389,0.138779546448574,0.334283105253658
191,"Buffer",209,401,0.167454281858196,0.290497449920126
191,"Outside",220,389,0.151049469019032,0.29774753177735
192,"Core",216,382,0.160803620131209,0.302935886822255
192,"Buffer",202,407,0.143470719258581,0.296720370180781
192,"Outside",207,403,0.150320623489807,0.306611043253178
193,"Core",214,383,0.138793540631152,0.315610173480227
193,"Buffer",223,385,0.143893649880496,0.309914328769228
193,"Outside",220,390,0.14763509456949,0.300314417726753
194,"Core",223,370,0.14604645860764,0.329106849445855
194,"Buffer",201,407,0.160159813816132,0.313652463605243
194,"Outside",232,377,0.153261099530731,0.288835576481547
195,"Core",210,392,0.163269510092403,0.317600165570766
195,"Buffer",208,401,0.162309537774786,0.308203886439961
195,"Outside",236,374,0.15202616967447,0.318679062524802
196,"Core",214,387,0.154378475158416,0.314422015725361
196,"Buffer",204,405,0.14258492736787,0.315371403091856
196,"Outside",215,394,0.152135351769122,0.30078597041737
197,"Core",220,379,0.149522645796545,0.314814972829018
197,"Buffer",221,387,0.162290907469985,0.304104208890771
197,"Outside",218,392,0.127823550430995,0.306253911694454
198,"Core",237,363,0.16206029084685,0.318039357530475
198,"Buffer",205,404,0.149392288150489,0.286316230773298
198,"Outside",222,388,0.138486444351987,0.311933701615612
199,"Core",202,401,0.168259114961449,0.322287597381985
199,"Buffer",207,401,0.14278442723994,0.305836615483268
199,"Outside",222,388,0.143395418138378,0.303547598937456
200,"Core",229,373,0.153172791486323,0.326593356529663
200,"Buffer",208,400,0.136263413352551,0.301798714039277
200,"Outside",231,379,0.144521271552315,0.320936673379613
201,"Core",229,374,0.16583544781093,0.315702470608537
201,"Buffer",197,411,0.166151358655534,0.314243168052086
201,"Outside",221,389,0.14636100929974,0.31526953394571
202,"Core",233,367,0.142828913322831,0.29992048432115
202,"Buffer",198,410,0.16844131098618,0.305081353023108
